fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,4.57,30320,4793,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00019626CE,5.71,34184,5482,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000239D8A4,7.38,41936,6990,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00023C9544,11.44,68328,11832,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000241043C,13.44,78260,13652,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000241010F,15.53,96240,17009,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000238C72C,22.75,126216,22543,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00023A4DB9,29.54,161468,29106,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000234B597,39.25,208132,37723,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00023A038B,57.91,332548,60668,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00023B9FFB,78.45,436048,79797,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS0002383EB1,79.39,461276,84464,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00023D6C38,130.52,733012,134714,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS0002411078,147.71,872424,160505,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000238BD54,179.13,1045664,192460,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000240503C,224.31,1356208,249870,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000241DEE3,337.23,1829324,337259,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00024138E3,407.67,2498480,460939,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS00023C899B,607.53,3415836,630484,rnacentral,CapR,50,na,wisteria_20251017_1212,32
URS000234CCEC,720.91,4624824,853910,rnacentral,CapR,50,na,wisteria_20251017_1212,32
