fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,16.96,314420,4793,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00019626CE,19.46,356540,5482,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000239D8A4,25.57,467144,6990,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00023C9544,44.14,801936,11832,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000241043C,49.65,902036,13652,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000241010F,57.39,1033172,17009,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000238C72C,85.36,1554960,22543,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00023A4DB9,108.22,1962076,29106,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000234B597,142.82999999999998,2567348,37723,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00023A038B,232.8,4127308,60668,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00023B9FFB,306.41,5611488,79797,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS0002383EB1,301.4,5526884,84464,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00023D6C38,525.84,9313764,134714,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS0002411078,546.24,10141304,160505,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000238BD54,681.16,12537732,192460,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000240503C,867.24,15986644,249870,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000241DEE3,1319.37,23498240,337259,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00024138E3,1606.77,29208660,460939,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS00023C899B,2414.27,43510940,630484,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
URS000234CCEC,2843.15,52090016,853910,rnacentral,LinCapR,100,turner2004,wisteria_20251017_1212,32
