fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,67.98,142572,4793,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00019626CE,81.48,162396,5482,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000239D8A4,108.25,206128,6990,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00023C9544,175.57,345980,11832,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000241043C,212.35,398200,13652,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000241010F,231.45,494944,17009,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000238C72C,361.87,654724,22543,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00023A4DB9,438.77,843752,29106,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000234B597,597.42,1092572,37723,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00023A038B,926.96,1754504,60668,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00023B9FFB,1215.46,2306328,79797,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS0002383EB1,1243.02,2440836,84464,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00023D6C38,2053.05,3890744,134714,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS0002411078,2247.17,4634588,160505,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000238BD54,2838.17,5556684,192460,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000240503C,3437.68,7212672,249870,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000241DEE3,5298.0,9733800,337259,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00024138E3,6412.0,13301648,460939,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS00023C899B,9627.0,18192792,630484,rnacentral,CapR,300,na,wisteria_20251021_1521,32
URS000234CCEC,11113.0,24638320,853910,rnacentral,CapR,300,na,wisteria_20251021_1521,32
