fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,38.75,97704,4793,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00019626CE,46.78,111320,5482,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000239D8A4,62.31,140344,6990,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00023C9544,99.34,234900,11832,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000241043C,119.31,270272,13652,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000241010F,131.81,335468,17009,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000238C72C,198.47,443312,22543,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00023A4DB9,249.88,570960,29106,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000234B597,341.8,738860,37723,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00023A038B,515.86,1185832,60668,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00023B9FFB,709.1,1558104,79797,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS0002383EB1,698.8,1649000,84464,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00023D6C38,1163.69,2627384,134714,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS0002411078,1279.2,3130092,160505,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000238BD54,1587.33,3752060,192460,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000240503C,1941.97,4870256,249870,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000241DEE3,3005.68,6571876,337259,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00024138E3,3633.0,8980540,460939,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS00023C899B,5441.0,12282056,630484,rnacentral,CapR,200,na,wisteria_20251021_1521,32
URS000234CCEC,6313.0,16632996,853910,rnacentral,CapR,200,na,wisteria_20251021_1521,32
