fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,40.19,566264,4793,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00019626CE,48.95,691340,5482,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000239D8A4,62.94,906112,6990,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00023C9544,114.15,1558888,11832,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000241043C,127.17,1734004,13652,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000241010F,144.47,1946708,17009,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000238C72C,218.57,2947840,22543,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00023A4DB9,285.02,3883860,29106,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000234B597,358.24,4946060,37723,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00023A038B,568.55,7934344,60668,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00023B9FFB,775.46,10762272,79797,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS0002383EB1,744.51,10282588,84464,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00023D6C38,1326.93,17883676,134714,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS0002411078,1356.57,18887964,160505,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000238BD54,1668.49,23638788,192460,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000240503C,2107.91,30010120,249870,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000241DEE3,3390.45,45560000,337259,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00024138E3,3956.0,55082056,460939,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS00023C899B,5971.0,83097276,630484,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
URS000234CCEC,6771.0,96649924,853910,rnacentral,LinCapR,200,turner2004,wisteria_20251021_1521,32
